Customer ID,Name,Gender,Age,Income,Region,Contact Information,Occupation,Education Level,Marital Status,Number of Household Members,Interests and Hobbies,Customer Loyalty
1,徐秀珍,女,31,176808,陕西省,yongjia@yaojia.cn,设计师,硕士,已婚,2,"阅读, 音乐",低
2,黄秀珍,女,30,145226,湖北省,byao@zou.cn,市场专员,高中,离异,5,"音乐, 摄影",高
3,朱刚,女,33,88629,黑龙江省,jietian@jieyuan.cn,设计师,高中,已婚,3,"篮球, 音乐",低
4,梁莹,女,38,102561,青海省,jiegong@hotmail.com,企业家,本科,已婚,4,"旅行, 音乐",中
5,许玉华,女,55,65032,河北省,wanjun@hotmail.com,教师,博士,离异,5,"绘画, 烹饪",中
6,刘丽华,男,67,156452,贵州省,guiying59@yahoo.com,销售,博士,离异,4,"篮球, 旅行",高
7,刘娟,男,33,71540,吉林省,zlai@hotmail.com,医生,硕士,离异,1,"烹饪, 绘画",中
8,张凯,男,26,179788,江苏省,xialei@gmail.com,程序员,博士,单身,5,"健身, 摄影",低
9,许春梅,男,18,159210,江苏省,ndeng@hotmail.com,教师,硕士,已婚,1,"阅读, 音乐",低
10,陈利,女,33,181417,北京市,xyao@70.cn,程序员,本科,已婚,4,"音乐, 旅行",中
11,劳娜,男,35,32408,江苏省,fxiao@lei.org,教师,高中,单身,5,"音乐, 健身",中
12,孙磊,女,65,121100,江苏省,mtian@yahoo.com,设计师,博士,已婚,1,"旅行, 篮球",中
13,段秀云,男,70,182795,贵州省,ming03@hotmail.com,市场专员,本科,已婚,2,"阅读, 烹饪",中
14,王慧,女,50,88800,江西省,huchao@yahoo.com,教师,本科,已婚,4,"旅行, 篮球",低
15,冯丽,女,28,139297,黑龙江省,xiulanpan@shao.cn,企业家,博士,已婚,5,"阅读, 健身",低
16,杨华,男,62,85249,浙江省,jintao@gmail.com,市场专员,本科,已婚,3,"健身, 阅读",高
17,马龙,女,54,72464,青海省,jingchang@yahoo.com,医生,硕士,离异,1,"篮球, 旅行",高
18,唐柳,男,37,199284,甘肃省,jqian@yahoo.com,程序员,博士,单身,1,"旅行, 摄影",高
19,马云,女,68,100440,河北省,huangjie@songgong.cn,工程师,博士,离异,3,"摄影, 旅行",中
20,李俊,女,31,117510,山西省,taofeng@hotmail.com,设计师,硕士,已婚,4,"绘画, 音乐",低
21,王成,男,30,113669,北京市,jingwen@hotmail.com,教师,硕士,离异,3,"烹饪, 篮球",中
22,祝桂芳,男,18,119054,辽宁省,qiang10@gmail.com,市场专员,本科,离异,2,"篮球, 健身",中
23,阮彬,男,35,192900,甘肃省,kongchao@yahoo.com,工程师,博士,单身,4,"音乐, 阅读",高
24,刘秀梅,女,20,149418,重庆市,gang42@yahoo.com,企业家,硕士,离异,2,"旅行, 绘画",低
25,陈红霞,女,19,90087,上海市,jiaxia@hotmail.com,设计师,本科,离异,2,"音乐, 健身",高
26,余秀华,男,31,135253,陕西省,fpan@gmail.com,设计师,本科,单身,5,"健身, 绘画",低
27,傅丽,女,34,30215,河北省,taodeng@ming.cn,市场专员,本科,离异,2,"阅读, 旅行",中
28,王亮,女,59,104231,天津市,chaoliao@yan.cn,程序员,本科,单身,5,"健身, 音乐",中
29,乔涛,女,31,93018,重庆市,liuyong@gmail.com,设计师,本科,已婚,5,"摄影, 旅行",低
30,石健,女,46,151771,贵州省,umeng@xiangsun.cn,程序员,高中,已婚,4,"阅读, 健身",中
31,徐玉珍,女,52,93984,吉林省,tanli@gmail.com,市场专员,博士,已婚,5,"音乐, 绘画",高
32,曾丽华,女,58,32783,云南省,pfang@du.cn,销售,高中,离异,4,"烹饪, 摄影",低
33,黄丽娟,女,41,68295,山西省,nhe@gmail.com,教师,博士,已婚,3,"烹饪, 绘画",低
34,戴强,女,23,64731,贵州省,dongyan@hu.cn,工程师,硕士,单身,5,"音乐, 健身",低
35,张丽娟,女,30,140273,河南省,lei24@weigang.cn,销售,博士,已婚,1,"阅读, 健身",中
36,邵秀珍,男,52,43168,河北省,ping90@ot.cn,工程师,硕士,单身,4,"健身, 摄影",低
37,管春梅,男,27,134333,四川省,jingli@wuwan.cn,医生,博士,已婚,1,"音乐, 阅读",低
38,金秀荣,女,33,137330,河南省,wyao@yahoo.com,设计师,高中,离异,1,"摄影, 健身",高
39,刘丹丹,男,58,53271,海南省,tao72@feng.cn,销售,硕士,离异,3,"篮球, 音乐",高
40,霍淑珍,女,50,44450,吉林省,xiaxia@hotmail.com,市场专员,高中,单身,4,"健身, 绘画",中
41,薛小红,男,20,143820,陕西省,lcui@yahoo.com,销售,硕士,已婚,1,"旅行, 摄影",高
42,方杰,女,24,158268,贵州省,qwan@93.cn,销售,高中,已婚,3,"旅行, 健身",低
43,梁敏,男,43,39134,台湾省,ycao@yahoo.com,教师,博士,单身,1,"阅读, 音乐",低
